Language	Boundary_Rate	Total_Func_Words
Abaza	0.9032	31
Abkhaz	0.9333	330
Afrikaans	0.8913	14600
Akkadian	0.9721	323
Akkadian	0.9819	3760
Akuntsu	0.8209	67
Albanian	0.9269	780
Albanian	0.9476	248
Alemannic	0.9498	5379
Alemannic	0.9682	346
Amharic	0.6698	1475
Ancient_Greek	0.9441	65964
Ancient_Greek	0.9079	12629
Ancient_Greek	0.7700	31463
Ancient_Hebrew	0.9503	48169
Apurina	0.9583	24
Arabic	0.9839	163572
Arabic	0.9678	69511
Arabic	0.9854	4646
Armenian	0.9290	11093
Armenian	0.9355	5656
Assyrian	0.8571	84
Azerbaijani	0.8837	43
Bambara	0.9631	1787
Basque	0.8843	12172
Bavarian	0.9334	4087
Beja	0.7802	3422
Belarusian	0.9553	48689
Bengali	0.7778	18
Bhojpuri	0.8967	1607
Bokota	0.9867	226
Bororo	0.8949	22891
Breton	0.9769	2551
Bulgarian	0.9718	30923
Buryat	0.7763	438
Cantonese	0.8169	792
Cappadocian	0.8254	63
Cappadocian	0.9086	1237
Catalan	0.9788	200624
Cebuano	0.9799	249
Central_Kurdish	0.8750	88
Chinese	0.9194	1042
Chinese	0.9338	619
Chinese	0.8703	13879
Chinese	0.8702	13880
Chinese	0.9286	742
Chinese	0.9452	1951
Chinese	0.9638	414
Chintang	0.8996	1255
Chukchi	0.8715	179
Classical_Armenian	0.9535	30641
Classical_Chinese	0.9682	25421
Classical_Chinese	0.8475	59
Coptic	0.9582	12628
Coptic	0.9648	20341
Croatian	0.9574	39807
Czech	0.9445	100381
Czech	0.9763	7210
Czech	0.9351	33122
Czech	0.9239	663392
Czech	0.9539	3793
Czech	0.9476	1240
Danish	0.9503	22382
Dutch	0.9518	59006
Dutch	0.9531	87422
Egyptian	0.8476	3812
English	0.9902	19409
English	0.8648	40969
English	0.9809	2147
English	0.9289	3785
English	0.9475	54651
English	0.9438	3631
English	0.9465	52841
English	0.9325	3450
English	0.9612	25617
English	0.9412	1378
English	0.9608	5432
English	0.9709	13666
English	0.9836	305
Erzya	0.9165	1162
Esperanto	0.9286	28
Esperanto	0.9785	837
Estonian	0.9643	41318
Estonian	0.9430	9776
Faroese	0.9407	10347
Faroese	0.8741	1756
Finnish	0.9344	15223
Finnish	0.9624	1382
Finnish	0.9551	1225
Finnish	0.9721	15208
French	0.9877	23455
French	0.9798	6978
French	0.9701	138244
French	0.9828	8549
French	0.9711	10736
French	0.8556	9403
French	0.9520	1729
French	0.8945	10659
French	0.9793	24055
Frisian_Dutch	0.8869	1017
Galician	0.9467	52852
Galician	0.9747	8575
Galician	0.9591	9234
Georgian	0.9520	6890
Georgian	0.9386	3063
German	0.9593	83851
German	0.9546	1003753
German	0.9417	10980
German	0.9687	6266
Gheg	0.9325	3024
Gothic	0.9627	15182
Greek	0.9611	1233
Greek	0.9656	20524
Greek	0.9584	7781
Greek	0.9467	1688
Greek	0.8964	222
Guajajara	0.8330	946
Guarani	0.9600	25
Gujarati	0.9370	238
Gwichin	0.9565	69
Haitian_Creole	0.9090	13953
Haitian_Creole	0.9749	718
Hausa	0.9008	363
Hausa	0.9148	1550
Hausa	0.9531	1878
Hebrew	0.9726	54488
Hebrew	0.9696	20939
Hebrew	0.9817	46212
Highland_Puebla_Nahuatl	0.9648	1308
Hindi	0.9596	93869
Hindi	0.9546	6649
Hittite	0.9519	187
Hungarian	0.9602	8667
Icelandic	0.8477	20275
Icelandic	0.9129	247265
Icelandic	0.9154	20493
Icelandic	0.9672	3780
Ika	0.6409	362
Indonesian	0.9721	4265
Indonesian	0.9592	20672
Indonesian	0.9795	3613
Irish	0.9388	1454
Irish	0.9630	33989
Irish	0.9009	10315
Italian	0.9744	105066
Italian	0.8977	2649
Italian	0.9227	14232
Italian	0.9445	35793
Italian	0.9789	8390
Italian	0.9785	20885
Italian	0.9606	7256
Italian	0.9340	32061
Italian	0.9370	7726
Italian	0.9704	99864
Italian	0.9625	2055
Japanese	0.9057	319013
Japanese	0.9806	283345
Japanese	0.9202	51732
Japanese	0.9928	46153
Japanese	0.9193	7992
Japanese	0.9923	7169
Javanese	0.8946	2068
Kaapor	0.9444	18
Kangri	0.8753	409
Karelian	0.9390	246
Karo	0.7736	106
Kazakh	0.8905	603
Khoekhoe	0.9519	3784
Khunsari	1.0000	7
Kiche	0.9802	2073
Komi_Permyak	0.9487	78
Komi_Zyrian	0.9241	224
Komi_Zyrian	0.9293	764
Korean	0.8914	2588
Korean	0.9739	7751
Korean	0.5535	38617
Korean	0.6271	1239
Korean	0.8168	584
Kyrgyz	0.8849	634
Kyrgyz	0.9273	55
Latgalian	1.0000	24
Latin	0.8253	4437
Latin	0.9265	109839
Latin	0.9373	60505
Latin	0.9094	45664
Latin	0.8741	5408
Latin	0.9301	13297
Latvian	1.0000	25
